ChargingStation;Unit;Value;MinLevelValue;MaxLevelValue;StartHour;EndHour
ABF-00005;charge;0.2964;0;NA;NA;NA
ABF-00005;kWh;0.06;0;NA;NA;NA
ABF-00006;charge;0.2964;0;NA;NA;NA
ABF-00006;kWh;0.06;0;NA;NA;NA
ABF-00008;charge;0.297;0;NA;NA;NA
ABF-00008;kWh;0.06;0;NA;NA;NA
ABF-00008;min;0.01;0;NA;NA;NA
ABF-00009;charge;0.297;0;NA;NA;NA
ABF-00009;kWh;0.06;0;NA;NA;NA
ABF-00009;min;0.01;0;NA;NA;NA
ABF-00011;charge;0.2964;0;NA;NA;NA
ABF-00011;min;0.03;0;NA;NA;NA
ABF-00012;charge;0.2964;0;NA;NA;NA
ABF-00012;min;0.035;0;NA;NA;NA
ABF-00013;charge;0.2964;0;NA;NA;NA
ABF-00013;min;0.035;0;NA;NA;NA
ABF-00014;charge;0.297;0;NA;NA;NA
ABF-00014;kWh;0.06;0;NA;NA;NA
ABF-00014;min;0.01;0;NA;NA;NA
ABF-00015;charge;0.297;0;NA;NA;NA
ABF-00015;kWh;0.06;0;NA;NA;NA
ABF-00015;min;0.01;0;NA;NA;NA
ABF-00016;min;0.08;0;NA;NA;NA
ABF-00024;charge;0.2964;0;NA;NA;NA
ABF-00024;min;0.105;0;NA;NA;NA
ABF-00025;charge;0.2964;0;NA;NA;NA
ABF-00025;kWh;0.07;0;NA;NA;NA
ABF-00027;charge;0.2964;0;NA;NA;NA
ABF-00027;kWh;0.06;0;NA;NA;NA
ABF-00029;charge;0.2964;0;NA;NA;NA
ABF-00029;kWh;0.06;0;NA;NA;NA
ABF-00030;charge;0.2964;0;NA;NA;NA
ABF-00030;kWh;0.06;0;NA;NA;NA
ABF-00031;charge;0.2964;0;NA;NA;NA
ABF-00031;kWh;0.06;0;NA;NA;NA
ABF-00032;charge;0.2964;0;NA;NA;NA
ABF-00032;kWh;0.06;0;NA;NA;NA
ABF-00033;charge;0.2964;0;NA;NA;NA
ABF-00033;kWh;0.06;0;NA;NA;NA
ABF-00034;min;0.03;0;NA;NA;NA
ABF-00035;charge;0.297;0;NA;NA;NA
ABF-00035;min;0.12;0;NA;NA;NA
ABF-00036;charge;0.2964;0;NA;NA;NA
ABF-00036;min;0.025;0;NA;NA;NA
ABF-00037;charge;0.2964;0;NA;NA;NA
ABF-00037;min;0.025;0;NA;NA;NA
ABF-90001;min;0.02;0;NA;NA;NA
ABF-90007;min;0.025;0;NA;NA;NA
ABT-00002;charge;0.2964;0;NA;NA;NA
ABT-00002;min;0.1;0;NA;NA;NA
ABT-00003;charge;0.2964;0;NA;NA;NA
ABT-00003;min;0.1;0;NA;NA;NA
ABT-00006;charge;0.297;0;NA;NA;NA
ABT-00006;kWh;0.07;0;NA;NA;NA
ABT-00006;min;0.09;0;NA;NA;NA
ABT-90001;min;0.02;0;NA;NA;NA
ACB-00002;charge;0.297;0;NA;NA;NA
ACB-00002;min;0.03;0;NA;NA;NA
ACB-00003;charge;0.297;0;NA;NA;NA
ACB-00003;min;0.1;0;NA;NA;NA
ACB-90001;min;0.02;0;NA;NA;NA
ACH-00002;charge;0.2964;0;NA;NA;NA
ACH-00002;min;0.105;0;NA;NA;NA
ACH-00003;charge;0.2964;0;NA;NA;NA
ACH-00003;min;0.105;0;NA;NA;NA
